building,site,timezone,training_valid_fraction,complete_training_days,training_scale,reason,training_missing,training_negative,training_zero,selected
Cockatoo_assembly_Fernanda,Cockatoo,US/Eastern,0.7299270072992701,197,90.15028122916667,training_valid_fraction_below_0.95,1776,0,0,False
Cockatoo_assembly_Genoveva,Cockatoo,US/Eastern,0.8211678832116789,219,16.654668203703704,training_valid_fraction_below_0.95,1176,0,0,False
Cockatoo_assembly_Griselda,Cockatoo,US/Eastern,0.8223844282238443,222,36.191071875,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_assembly_Heath,Cockatoo,US/Eastern,0.8222323600973236,221,171.91304017014983,training_valid_fraction_below_0.95,1169,0,0,False
Cockatoo_assembly_Meredith,Cockatoo,US/Eastern,0.8223844282238443,222,58.22565490014793,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_assembly_Mimi,Cockatoo,US/Eastern,0.8223844282238443,222,3.5705975591715977,training_valid_fraction_below_0.95,1168,0,2662,False
Cockatoo_assembly_Pierre,Cockatoo,US/Eastern,0.8217761557177615,221,13.974964563286454,training_valid_fraction_below_0.95,1172,0,0,False
Cockatoo_assembly_Ralph,Cockatoo,US/Eastern,0.005170316301703163,1,14.472794117647059,training_valid_fraction_below_0.95,6542,0,0,False
Cockatoo_assembly_Rodger,Cockatoo,US/Eastern,0.8202554744525548,214,96.79497280311458,training_valid_fraction_below_0.95,1182,0,0,False
Cockatoo_assembly_Tabitha,Cockatoo,US/Eastern,0.8223844282238443,222,11.575796653106508,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_assembly_Valencia,Cockatoo,US/Eastern,0.8223844282238443,222,113.77554241863903,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Amira,Cockatoo,US/Eastern,0.8106751824817519,168,48.34559028324892,training_valid_fraction_below_0.95,1245,0,0,False
Cockatoo_education_Arlen,Cockatoo,US/Eastern,0.8223844282238443,222,87.34835428994083,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Brendan,Cockatoo,US/Eastern,0.8216240875912408,219,75.01273366648158,training_valid_fraction_below_0.95,1173,0,0,False
Cockatoo_education_Brigitte,Cockatoo,US/Eastern,0.8223844282238443,222,700.8336862241124,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Charity,Cockatoo,US/Eastern,0.8208637469586375,216,281.55332839940723,training_valid_fraction_below_0.95,1178,0,0,False
Cockatoo_education_Christi,Cockatoo,US/Eastern,0.8170620437956204,212,5.651023618090452,training_valid_fraction_below_0.95,1203,0,0,False
Cockatoo_education_Claudine,Cockatoo,US/Eastern,0.8219282238442822,220,38.9185091026827,training_valid_fraction_below_0.95,1171,0,0,False
Cockatoo_education_Clifton,Cockatoo,US/Eastern,0.8204075425790754,212,1.3333750139017608,training_valid_fraction_below_0.95,1181,0,47,False
Cockatoo_education_Collin,Cockatoo,US/Eastern,0.8223844282238443,222,191.53937529585798,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Deloris,Cockatoo,US/Eastern,0.8128041362530414,196,77.30971779232928,training_valid_fraction_below_0.95,1231,0,0,False
Cockatoo_education_Doreen,Cockatoo,US/Eastern,0.8223844282238443,222,87.65596185281065,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Erik,Cockatoo,US/Eastern,0.8219282238442822,220,173.24570460684552,training_valid_fraction_below_0.95,1171,0,0,False
Cockatoo_education_Eunice,Cockatoo,US/Eastern,0.8223844282238443,222,384.5634892751479,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Evangeline,Cockatoo,US/Eastern,0.8223844282238443,222,201.64978119452664,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Flora,Cockatoo,US/Eastern,0.8219282238442822,220,872.0123311748382,training_valid_fraction_below_0.95,1171,0,0,False
Cockatoo_education_Gussie,Cockatoo,US/Eastern,0.8220802919708029,221,293.5504131335553,training_valid_fraction_below_0.95,1170,0,0,False
Cockatoo_education_Helene,Cockatoo,US/Eastern,0.8197992700729927,219,127.18160050083472,training_valid_fraction_below_0.95,1185,0,0,False
Cockatoo_education_Jack,Cockatoo,US/Eastern,0.8223844282238443,222,8.182815588017752,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Janet,Cockatoo,US/Eastern,0.8223844282238443,222,1016.5813131286982,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Joeann,Cockatoo,US/Eastern,0.8223844282238443,222,397.8945713202662,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Joel,Cockatoo,US/Eastern,0.8223844282238443,222,6.735667843934911,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Jon,Cockatoo,US/Eastern,0.8222323600973236,221,120.52800843351211,training_valid_fraction_below_0.95,1169,0,0,False
Cockatoo_education_Julia,Cockatoo,US/Eastern,0.8201034063260341,211,31.594500611904316,training_valid_fraction_below_0.95,1183,0,0,False
Cockatoo_education_Julio,Cockatoo,US/Eastern,0.8223844282238443,222,173.7915557137574,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_June,Cockatoo,US/Eastern,0.8205596107055961,218,106.78915709785025,training_valid_fraction_below_0.95,1180,0,4,False
Cockatoo_education_Latrice,Cockatoo,US/Eastern,0.7431569343065694,199,0.6502677102516882,training_valid_fraction_below_0.95,1689,0,4442,False
Cockatoo_education_Laurence,Cockatoo,US/Eastern,0.8223844282238443,222,70.4797029031065,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Lionel,Cockatoo,US/Eastern,0.8027676399026764,204,328.2899823261981,training_valid_fraction_below_0.95,1297,0,0,False
Cockatoo_education_Magdalena,Cockatoo,US/Eastern,0.8223844282238443,222,11.736516900887572,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Marva,Cockatoo,US/Eastern,0.8223844282238443,222,154.5317353735207,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Maynard,Cockatoo,US/Eastern,0.8222323600973236,221,21.06545679674496,training_valid_fraction_below_0.95,1169,0,0,False
Cockatoo_education_Mayra,Cockatoo,US/Eastern,0.8201034063260341,221,42.01338308918969,training_valid_fraction_below_0.95,1183,0,2082,False
Cockatoo_education_Melanie,Cockatoo,US/Eastern,0.8223844282238443,222,16.26163553994083,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Minh,Cockatoo,US/Eastern,0.8213199513381995,215,45.654613349379744,training_valid_fraction_below_0.95,1175,0,0,False
Cockatoo_education_Nelda,Cockatoo,US/Eastern,0.8211678832116789,217,131.7334228148148,training_valid_fraction_below_0.95,1176,0,0,False
Cockatoo_education_Oliver,Cockatoo,US/Eastern,0.8223844282238443,222,174.37846244452663,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Orlando,Cockatoo,US/Eastern,0.8223844282238443,222,228.52257610946745,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Rita,Cockatoo,US/Eastern,0.8223844282238443,222,12.425582470414202,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Shawn,Cockatoo,US/Eastern,0.8223844282238443,222,116.27223557692308,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Sheryl,Cockatoo,US/Eastern,0.8223844282238443,222,489.9070666974852,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_education_Terrence,Cockatoo,US/Eastern,0.8211678832116789,220,416.4965169814815,training_valid_fraction_below_0.95,1176,0,0,False
Cockatoo_education_Tyler,Cockatoo,US/Eastern,0.8220802919708029,220,795.8803719940805,training_valid_fraction_below_0.95,1170,0,0,False
Cockatoo_education_Victoria,Cockatoo,US/Eastern,0.8188868613138686,203,4.660139257195914,training_valid_fraction_below_0.95,1191,0,0,False
Cockatoo_industrial_Nathaniel,Cockatoo,US/Eastern,0.8223844282238443,222,77.83045490014793,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_industrial_Sarita,Cockatoo,US/Eastern,0.8223844282238443,222,14.486464478550298,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Aimee,Cockatoo,US/Eastern,0.8223844282238443,222,31.80855214497042,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Albert,Cockatoo,US/Eastern,0.8222323600973236,221,64.67360055483631,training_valid_fraction_below_0.95,1169,0,0,False
Cockatoo_lodging_Alicia,Cockatoo,US/Eastern,0.8137165450121655,205,26.742870491496912,training_valid_fraction_below_0.95,1225,0,0,False
Cockatoo_lodging_Ana,Cockatoo,US/Eastern,0.8223844282238443,222,11.675348243343194,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Carmen,Cockatoo,US/Eastern,0.8223844282238443,222,15.504508746301775,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Cletus,Cockatoo,US/Eastern,0.8223844282238443,222,85.22835149778106,training_valid_fraction_below_0.95,1168,0,4,False
Cockatoo_lodging_Elvia,Cockatoo,US/Eastern,0.8217761557177615,221,255.07903095854923,training_valid_fraction_below_0.95,1172,0,0,False
Cockatoo_lodging_Emory,Cockatoo,US/Eastern,0.8220802919708029,221,79.02066992230854,training_valid_fraction_below_0.95,1170,0,2,False
Cockatoo_lodging_Eric,Cockatoo,US/Eastern,0.8223844282238443,222,17.80648115754438,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Homer,Cockatoo,US/Eastern,0.8223844282238443,222,259.7670179918639,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Jarrod,Cockatoo,US/Eastern,0.8223844282238443,222,78.62259306582841,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Javier,Cockatoo,US/Eastern,0.8223844282238443,222,94.80704049556212,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Jim,Cockatoo,US/Eastern,0.8223844282238443,222,53.305963369082846,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Jimmie,Cockatoo,US/Eastern,0.8223844282238443,222,185.11643245192306,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Johnathan,Cockatoo,US/Eastern,0.8223844282238443,222,8.429477921597634,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Josephine,Cockatoo,US/Eastern,0.8223844282238443,222,81.26566200073965,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Judi,Cockatoo,US/Eastern,0.8223844282238443,222,13.82185035133136,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Katharine,Cockatoo,US/Eastern,0.8216240875912408,221,24.389060077734595,training_valid_fraction_below_0.95,1173,0,0,False
Cockatoo_lodging_Kerri,Cockatoo,US/Eastern,0.645529197080292,171,18.127302709069493,training_valid_fraction_below_0.95,2331,0,0,False
Cockatoo_lodging_Kyle,Cockatoo,US/Eastern,0.8223844282238443,222,226.73614552514792,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Lana,Cockatoo,US/Eastern,0.8213199513381995,218,32.30418441029439,training_valid_fraction_below_0.95,1175,0,0,False
Cockatoo_lodging_Linwood,Cockatoo,US/Eastern,0.8223844282238443,222,17.48649528476331,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Lynne,Cockatoo,US/Eastern,0.8223844282238443,222,128.82562098742605,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Mandy,Cockatoo,US/Eastern,0.8205596107055961,215,12.592905244625648,training_valid_fraction_below_0.95,1180,0,1,False
Cockatoo_lodging_Olga,Cockatoo,US/Eastern,0.8223844282238443,222,60.43033006656804,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Raphael,Cockatoo,US/Eastern,0.8223844282238443,222,89.32054363905326,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_lodging_Tesha,Cockatoo,US/Eastern,0.8182785888077859,213,21.604105482252372,training_valid_fraction_below_0.95,1195,0,0,False
Cockatoo_lodging_Tessie,Cockatoo,US/Eastern,0.8222323600973236,221,220.07567196227114,training_valid_fraction_below_0.95,1169,0,0,False
Cockatoo_office_Ada,Cockatoo,US/Eastern,0.8132603406326034,219,433.12392481301424,training_valid_fraction_below_0.95,1228,0,0,False
Cockatoo_office_Alton,Cockatoo,US/Eastern,0.8223844282238443,222,94.98326862056213,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_office_Christy,Cockatoo,US/Eastern,0.8216240875912408,221,179.2292599666852,training_valid_fraction_below_0.95,1173,0,0,False
Cockatoo_office_Delores,Cockatoo,US/Eastern,0.8223844282238443,222,72.35450721153848,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_office_Elbert,Cockatoo,US/Eastern,0.8202554744525548,217,31.16563618835744,training_valid_fraction_below_0.95,1182,0,0,False
Cockatoo_office_Gail,Cockatoo,US/Eastern,0.8222323600973236,221,22.813095690771224,training_valid_fraction_below_0.95,1169,0,2,False
Cockatoo_office_Georgia,Cockatoo,US/Eastern,0.8222323600973236,221,256.72637628999445,training_valid_fraction_below_0.95,1169,0,0,False
Cockatoo_office_Giovanni,Cockatoo,US/Eastern,0.8181265206812652,211,141.5521514684015,training_valid_fraction_below_0.95,1196,0,0,False
Cockatoo_office_Jimmy,Cockatoo,US/Eastern,0.8201034063260341,218,16.18791954385314,training_valid_fraction_below_0.95,1183,0,0,False
Cockatoo_office_Jodie,Cockatoo,US/Eastern,0.8222323600973236,221,51.94507118550029,training_valid_fraction_below_0.95,1169,0,0,False
Cockatoo_office_Kristin,Cockatoo,US/Eastern,0.8220802919708029,221,104.01382571217165,training_valid_fraction_below_0.95,1170,0,0,False
Cockatoo_office_Laila,Cockatoo,US/Eastern,0.8211678832116789,220,226.69792592592594,training_valid_fraction_below_0.95,1176,0,0,False
Cockatoo_office_Lorraine,Cockatoo,US/Eastern,0.8185827250608273,200,7.552719970276796,training_valid_fraction_below_0.95,1193,0,0,False
Cockatoo_office_Margaret,Cockatoo,US/Eastern,0.8223844282238443,222,3.2995192307692305,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_office_Paige,Cockatoo,US/Eastern,0.8223844282238443,222,114.31097601701185,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_office_Pansy,Cockatoo,US/Eastern,0.8216240875912408,221,55.06467547658708,training_valid_fraction_below_0.95,1173,0,0,False
Cockatoo_office_Rodney,Cockatoo,US/Eastern,0.8223844282238443,222,135.41491464497042,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_office_Roxanna,Cockatoo,US/Eastern,0.819647201946472,218,8.003005565862708,training_valid_fraction_below_0.95,1186,0,0,False
Cockatoo_public_Caleb,Cockatoo,US/Eastern,0.8223844282238443,222,195.09994759615384,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_public_Chiquita,Cockatoo,US/Eastern,0.8223844282238443,222,89.6766965606509,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_public_Harland,Cockatoo,US/Eastern,0.8214720194647201,219,51.366240873750456,training_valid_fraction_below_0.95,1174,0,0,False
Cockatoo_public_Leah,Cockatoo,US/Eastern,0.8222323600973236,221,166.33048672091732,training_valid_fraction_below_0.95,1169,0,0,False
Cockatoo_public_Shad,Cockatoo,US/Eastern,0.8223844282238443,222,140.85665835798815,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_public_Valerie,Cockatoo,US/Eastern,0.8223844282238443,222,428.0760724852072,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_religion_Diedre,Cockatoo,US/Eastern,0.8222323600973236,221,7.3284292028851485,training_valid_fraction_below_0.95,1169,0,0,False
Cockatoo_science_Rex,Cockatoo,US/Eastern,0.8223844282238443,222,189.76998735207098,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_utility_Kimiko,Cockatoo,US/Eastern,0.8222323600973236,221,83.61191666358424,training_valid_fraction_below_0.95,1169,0,0,False
Cockatoo_utility_Sherri,Cockatoo,US/Eastern,0.8223844282238443,222,61.109043713017755,training_valid_fraction_below_0.95,1168,0,0,False
Crow_education_Kate,Crow,US/Eastern,0.9858576642335767,265,75.11087613759062,eligible,93,0,0,True
Crow_education_Keisha,Crow,US/Eastern,0.9986313868613139,270,294.7812174508908,eligible,9,0,0,False
Crow_education_Marlin,Crow,US/Eastern,0.95088199513382,257,252.76003086518472,eligible,323,0,0,False
Crow_education_Omer,Crow,US/Eastern,0.9998479318734793,272,347.4912547528517,eligible,1,0,0,False
Crow_education_Winston,Crow,US/Eastern,0.9861618004866181,267,327.72328450269856,eligible,91,0,0,False
Eagle_assembly_Benny,Eagle,US/Eastern,1.0,272,53.86613201034064,eligible,0,0,39,True
Eagle_assembly_Candice,Eagle,US/Eastern,1.0,272,37.759039704987835,eligible,0,0,141,False
Eagle_assembly_Estelle,Eagle,US/Eastern,0.9995437956204379,269,11.833409402099498,eligible,3,0,127,False
Eagle_assembly_Herbert,Eagle,US/Eastern,1.0,272,71.51443430656936,eligible,0,0,43,False
Eagle_assembly_Ian,Eagle,US/Eastern,1.0,272,421.4992396593674,eligible,0,0,138,False
Eagle_assembly_Josie,Eagle,US/Eastern,0.968065693430657,252,136.69138650644047,eligible,210,0,31,False
Eagle_assembly_Lacy,Eagle,US/Eastern,0.9990875912408759,270,121.53845561643836,eligible,6,0,114,False
Eagle_assembly_Latrina,Eagle,US/Eastern,1.0,272,109.53056122262774,eligible,0,0,896,False
Eagle_assembly_Margret,Eagle,US/Eastern,1.0,272,439.55593255778587,eligible,0,0,43,False
Eagle_assembly_Noel,Eagle,US/Eastern,1.0,272,0.0,degenerate_training_meter,0,0,6576,False
Eagle_assembly_Portia,Eagle,US/Eastern,1.0,272,137.56549227493917,eligible,0,0,140,False
Eagle_education_Alberto,Eagle,US/Eastern,1.0,272,445.4245783759124,eligible,0,0,141,False
Eagle_education_April,Eagle,US/Eastern,1.0,272,42.892149756691,eligible,0,0,1542,False
Eagle_education_Brianne,Eagle,US/Eastern,1.0,272,369.5698900547445,eligible,0,0,315,False
Eagle_education_Brooke,Eagle,US/Eastern,1.0,272,897.7551150547447,eligible,0,0,8,False
Eagle_education_Cassie,Eagle,US/Eastern,1.0,272,65.18390739051095,eligible,0,0,991,False
Eagle_education_Edith,Eagle,US/Eastern,1.0,272,179.89613293795622,eligible,0,0,181,False
Eagle_education_Eileen,Eagle,US/Eastern,1.0,272,40.20491473540146,eligible,0,0,195,False
Eagle_education_Jewell,Eagle,US/Eastern,0.9381082725060828,241,241.97429889771436,training_valid_fraction_below_0.95,407,0,47,False
Eagle_education_Lino,Eagle,US/Eastern,0.9987834549878345,268,178.88658399817294,eligible,8,0,110,False
Eagle_education_Luther,Eagle,US/Eastern,1.0,272,458.1368029805354,eligible,0,0,44,False
Eagle_education_Maragret,Eagle,US/Eastern,0.9998479318734793,271,20.031787072243347,eligible,1,0,142,False
Eagle_education_Norah,Eagle,US/Eastern,1.0,272,486.1339720194647,eligible,0,0,56,False
Eagle_education_Paul,Eagle,US/Eastern,1.0,272,22.240614857055963,eligible,0,0,1510,False
Eagle_education_Peter,Eagle,US/Eastern,1.0,272,1588.8178785279806,eligible,0,0,87,False
Eagle_education_Petra,Eagle,US/Eastern,1.0,272,64.2323600973236,eligible,0,0,127,False
Eagle_education_Raul,Eagle,US/Eastern,0.9998479318734793,271,645.3657041825096,eligible,1,0,86,False
Eagle_education_Roman,Eagle,US/Eastern,1.0,272,677.0769464720195,eligible,0,0,126,False
Eagle_education_Samantha,Eagle,US/Eastern,1.0,272,276.5143109489051,eligible,0,0,2,False
Eagle_education_Shana,Eagle,US/Eastern,1.0,272,47.613643597931876,eligible,0,0,187,False
Eagle_education_Shanna,Eagle,US/Eastern,1.0,272,279.82025547445255,eligible,0,0,139,False
Eagle_education_Shante,Eagle,US/Eastern,1.0,272,599.2276308090024,eligible,0,0,205,False
Eagle_education_Sheena,Eagle,US/Eastern,1.0,272,23.732497810218977,eligible,0,0,1510,False
Eagle_education_Sherrill,Eagle,US/Eastern,0.9977189781021898,262,696.8014306355739,eligible,15,0,37,False
Eagle_education_Teresa,Eagle,US/Eastern,1.0,272,104.72860916970802,eligible,0,0,40,False
Eagle_education_Wesley,Eagle,US/Eastern,1.0,272,136.40769464720194,eligible,0,0,127,False
Eagle_education_Will,Eagle,US/Eastern,1.0,272,111.23697916666667,eligible,0,0,46,False
Eagle_food_Jennifer,Eagle,US/Eastern,0.989963503649635,257,88.03187470046083,eligible,66,0,597,False
Eagle_food_Kay,Eagle,US/Eastern,1.0,272,182.3288503649635,eligible,0,0,47,False
Eagle_health_Amy,Eagle,US/Eastern,1.0,272,77.15217761557177,eligible,0,0,127,False
Eagle_health_Athena,Eagle,US/Eastern,0.9998479318734793,271,272.0656566996198,eligible,1,0,1924,False
Eagle_health_Gregoria,Eagle,US/Eastern,1.0,272,461.60093724148425,eligible,0,0,1410,False
Eagle_health_Jodi,Eagle,US/Eastern,1.0,272,183.20853952250607,eligible,0,0,69,False
Eagle_health_Lucinda,Eagle,US/Eastern,1.0,272,560.0065389294404,eligible,0,0,65,False
Eagle_health_Margo,Eagle,US/Eastern,1.0,272,56.15289545316302,eligible,0,0,158,False
Eagle_health_Reba,Eagle,US/Eastern,1.0,272,371.6605809002433,eligible,0,0,127,False
Eagle_health_Reuben,Eagle,US/Eastern,1.0,272,229.50912408759123,eligible,0,0,115,False
Eagle_health_Trisha,Eagle,US/Eastern,1.0,272,306.98744069343064,eligible,0,0,59,False
Eagle_health_Vincenza,Eagle,US/Eastern,1.0,272,54.649973159975666,eligible,0,0,51,False
Eagle_lodging_Andy,Eagle,US/Eastern,1.0,272,55.62925173357665,eligible,0,0,51,False
Eagle_lodging_Blake,Eagle,US/Eastern,1.0,272,18.89313623783455,eligible,0,0,35,False
Eagle_lodging_Casey,Eagle,US/Eastern,1.0,272,76.53812852798053,eligible,0,0,139,False
Eagle_lodging_Dawn,Eagle,US/Eastern,1.0,272,73.53724817518248,eligible,0,0,139,False
Eagle_lodging_Edgardo,Eagle,US/Eastern,1.0,272,49.332849756691,eligible,0,0,127,False
Eagle_lodging_Garland,Eagle,US/Eastern,0.0,0,0.0,training_valid_fraction_below_0.95,6576,0,0,False
Eagle_lodging_Stephanie,Eagle,US/Eastern,1.0,272,76.46122262773723,eligible,0,0,140,False
Eagle_lodging_Terri,Eagle,US/Eastern,1.0,272,102.38914762773723,eligible,0,0,217,False
Eagle_lodging_Tressa,Eagle,US/Eastern,1.0,272,68.79455596107056,eligible,0,0,127,False
Eagle_lodging_Trina,Eagle,US/Eastern,1.0,272,47.51670468369829,eligible,0,0,127,False
Eagle_office_Amanda,Eagle,US/Eastern,1.0,272,308.13887311435525,eligible,0,0,37,False
Eagle_office_Amie,Eagle,US/Eastern,0.4904197080291971,134,487.97022982945737,training_valid_fraction_below_0.95,3351,0,0,False
Eagle_office_Bridgett,Eagle,US/Eastern,1.0,272,208.12495217457422,eligible,0,0,39,False
Eagle_office_Chantelle,Eagle,US/Eastern,0.9817518248175182,252,32.89062128252788,eligible,120,0,98,False
Eagle_office_Chauncey,Eagle,US/Eastern,1.0,272,536.115821836983,eligible,0,0,109,False
Eagle_office_Dallas,Eagle,US/Eastern,1.0,272,56.89053937043795,eligible,0,0,38,False
Eagle_office_Damian,Eagle,US/Eastern,1.0,272,168.2164135492701,eligible,0,0,236,False
Eagle_office_Demetra,Eagle,US/Eastern,1.0,272,154.74619829683698,eligible,0,0,127,False
Eagle_office_Donovan,Eagle,US/Eastern,1.0,272,67.9986496350365,eligible,0,0,38,False
Eagle_office_Efrain,Eagle,US/Eastern,0.9998479318734793,271,55.77780007604563,eligible,1,0,127,False
Eagle_office_Elia,Eagle,US/Eastern,1.0,272,145.6805641119221,eligible,0,0,181,False
Eagle_office_Elias,Eagle,US/Eastern,1.0,272,79.35931792883211,eligible,0,0,236,False
Eagle_office_Elvis,Eagle,US/Eastern,1.0,272,44.88503649635037,eligible,0,0,118,False
Eagle_office_Flossie,Eagle,US/Eastern,1.0,272,163.19521745742094,eligible,0,0,49,False
Eagle_office_Francis,Eagle,US/Eastern,1.0,272,331.37758515815085,eligible,0,0,127,False
Eagle_office_Freida,Eagle,US/Eastern,1.0,272,67.51733576642336,eligible,0,0,128,False
Eagle_office_Henriette,Eagle,US/Eastern,1.0,272,27.94341119221411,eligible,0,0,40,False
Eagle_office_Isidro,Eagle,US/Eastern,1.0,272,20.671684914841848,eligible,0,0,128,False
Eagle_office_Jackie,Eagle,US/Eastern,1.0,272,74.54470802919708,eligible,0,0,128,False
Eagle_office_Jeff,Eagle,US/Eastern,1.0,272,43.56128345498784,eligible,0,0,127,False
Eagle_office_Joette,Eagle,US/Eastern,0.0,0,0.0,training_valid_fraction_below_0.95,6576,0,0,False
Eagle_office_Katheleen,Eagle,US/Eastern,1.0,272,101.79567767639902,eligible,0,0,181,False
Eagle_office_Lamont,Eagle,US/Eastern,1.0,272,29.79860139902676,eligible,0,0,188,False
Eagle_office_Lane,Eagle,US/Eastern,1.0,272,46.280869829683695,eligible,0,0,129,False
Eagle_office_Lillian,Eagle,US/Eastern,1.0,272,93.39235033454987,eligible,0,0,245,False
Eagle_office_Mable,Eagle,US/Eastern,1.0,272,17.41672396593674,eligible,0,0,42,False
Eagle_office_Mandi,Eagle,US/Eastern,1.0,272,16.563012256690996,eligible,0,0,187,False
Eagle_office_Marisela,Eagle,US/Eastern,0.9998479318734793,271,142.09382713307986,eligible,1,0,188,False
Eagle_office_Michele,Eagle,US/Eastern,0.0,0,0.0,training_valid_fraction_below_0.95,6576,0,0,False
Eagle_office_Nereida,Eagle,US/Eastern,1.0,272,164.04560006082724,eligible,0,0,126,False
Eagle_office_Norbert,Eagle,US/Eastern,1.0,272,94.8861359489051,eligible,0,0,165,False
Eagle_office_Patrice,Eagle,US/Eastern,1.0,272,84.38762165450122,eligible,0,0,127,False
Eagle_office_Phyllis,Eagle,US/Eastern,1.0,272,40.24348448905109,eligible,0,0,187,False
Eagle_office_Randolph,Eagle,US/Eastern,1.0,272,110.94331052311435,eligible,0,0,42,False
Eagle_office_Remedios,Eagle,US/Eastern,1.0,272,85.47796526763992,eligible,0,0,163,False
Eagle_office_Ryan,Eagle,US/Eastern,1.0,272,26.929288321167885,eligible,0,0,169,False
Eagle_office_Sheree,Eagle,US/Eastern,1.0,272,43.01094890510949,eligible,0,0,51,False
Eagle_office_Sonya,Eagle,US/Eastern,1.0,272,184.3742396593674,eligible,0,0,127,False
Eagle_office_Tia,Eagle,US/Eastern,1.0,272,176.28122615571777,eligible,0,0,195,False
Eagle_office_Yadira,Eagle,US/Eastern,1.0,272,129.17239063260342,eligible,0,0,98,False
Eagle_public_Alvin,Eagle,US/Eastern,1.0,272,95.42374502737226,eligible,0,0,459,False
Eagle_public_Henry,Eagle,US/Eastern,0.996654501216545,256,28.151052792187976,eligible,22,0,48,False
Eagle_public_Minnie,Eagle,US/Eastern,1.0,272,163.4087591240876,eligible,0,0,324,False
Eagle_public_Missy,Eagle,US/Eastern,1.0,272,31.35009537712895,eligible,0,0,139,False
Eagle_public_Ola,Eagle,US/Eastern,0.9527068126520681,240,147.79590582601756,eligible,311,0,25,False
Eagle_public_Pearle,Eagle,US/Eastern,1.0,272,349.9485119981752,eligible,0,0,236,False
Eagle_public_Preston,Eagle,US/Eastern,0.9998479318734793,271,328.7038744182509,eligible,1,0,18,False
Fox_assembly_Adrianne,Fox,US/Mountain,0.9998479318734793,271,206.471472243346,eligible,1,0,6,True
Fox_assembly_Audrey,Fox,US/Mountain,0.9996958637469586,270,13.248714633404319,eligible,2,0,0,False
Fox_assembly_Boyce,Fox,US/Mountain,0.9995437956204379,269,327.7103331811958,eligible,3,0,506,False
Fox_assembly_Bradley,Fox,US/Mountain,0.9998479318734793,271,201.86520456273763,eligible,1,0,506,False
